"debut";"fin";"Aquitaine";"Austrasie";"Bourgogne";"Neustrie";"Provence";"autres";"ecclesiastiques";"nobles"
"580";535;535;1;0;0;0;0;0;0;1
"581";540;541;1;0;0;0;0;1;0;0
"582";581;586;0;0;1;0;0;1;0;0
"583";589;589;0;1;0;0;0;1;0;0
"584";538;538;0;0;1;0;0;0;1;0
"585";550;565;1;0;0;0;0;1;0;0
"586";549;554;0;0;0;0;1;1;0;0
"587";NA;NA;0;0;0;0;0;0;0;0
"588";587;590;0;1;0;0;0;0;0;1
"589";511;532;0;1;0;0;0;1;0;0
"590";567;576;0;0;0;1;0;1;0;0
"591";567;584;0;0;0;1;0;1;0;0
"592";613;614;0;0;1;0;0;0;0;1
"593";486;510;0;0;0;1;0;1;0;0
"594";570;584;1;0;0;0;0;0;1;0
"595";433;460;0;0;0;0;1;0;1;0
"596";549;549;0;0;0;0;1;1;0;0
"597";585;585;1;0;0;0;0;1;0;0
"598";485;499;0;0;1;0;0;0;1;0
"599";555;565;1;0;0;0;0;0;1;0
"600";549;582;0;0;0;1;0;1;0;0
"601";NA;NA;0;0;0;0;0;0;0;0
"602";570;575;1;0;0;0;0;1;0;0
"603";585;585;0;0;1;0;0;1;0;0
"604";588;588;0;1;0;0;0;1;0;0
"605";585;590;0;0;1;0;0;1;0;0
"606";575;580;0;0;1;0;0;1;0;0
"607";553;581;0;0;0;0;1;1;0;0
"608";565;591;1;0;0;0;0;1;0;0
"609";561;562;0;0;0;1;0;1;0;0
"610";NA;NA;0;0;0;0;0;0;0;0
"611";NA;NA;0;0;0;0;0;0;0;0
"613";585;585;0;0;1;0;0;0;1;0
"614";510;540;0;0;1;0;0;0;1;0
"615";NA;NA;0;0;0;0;0;0;0;0
"616";500;500;0;1;0;0;0;1;0;0
"617";534;553;0;0;0;0;1;1;0;0
"618";555;555;1;0;0;0;0;0;0;1
"620";560;570;0;0;0;1;0;0;1;0
"621";614;614;1;0;0;0;0;1;0;0
"622";NA;NA;0;0;0;0;0;0;0;0
"623";500;500;0;0;1;0;0;1;0;0
"624";557;557;0;0;0;0;1;0;1;0
"625";587;590;0;1;0;0;0;1;0;0
"626";490;490;0;0;0;1;0;1;0;0
"627";529;544;0;0;0;1;0;1;0;0
"628";535;NA;0;1;0;0;0;1;0;0
"629";570;580;0;0;1;0;0;1;0;0
"630";550;570;0;1;0;0;0;1;0;0
"631";585;590;0;1;0;0;0;1;0;0
"632";NA;NA;0;0;0;0;0;0;0;0
"633";561;565;0;0;1;0;0;1;0;0
"634";485;485;0;0;0;0;1;0;1;0
"635";NA;NA;0;0;0;0;0;0;0;0
